generation,mean,best,worst,range
0,12,18,5,13
1,13,19,7,12
2,13,19,8,11
3,14,19,9,10
4,15,19,10,9
5,16,20,11,9
6,16,20,12,8
7,16,20,12,8
8,17,20,13,7
9,17,20,12,8
10,17,20,13,7
11,17,21,14,7
12,18,21,14,7
13,18,21,15,6
14,18,21,15,6
15,18,21,13,8
16,18,21,15,6
17,18,21,15,6
18,19,21,15,6
19,19,22,15,7
20,19,22,16,6
21,19,22,14,8
22,19,22,16,6
23,19,22,16,6
24,19,22,16,6
25,20,22,16,6
26,20,22,16,6
27,20,22,16,6
28,20,22,16,6
29,20,22,14,8
30,20,22,16,6
31,20,22,16,6
32,20,22,17,5
33,20,22,16,6
34,20,22,17,5
35,20,22,16,6
36,20,22,16,6
37,20,22,16,6
38,20,22,16,6
39,21,22,16,6
40,21,22,16,6
41,21,22,16,6
42,21,22,16,6
43,21,22,17,5
44,21,22,16,6
45,21,22,17,5
46,21,22,16,6
47,21,22,17,5
48,21,22,17,5
49,21,22,17,5
50,21,22,16,6
51,21,22,17,5
52,21,22,17,5
53,21,22,17,5
54,21,22,16,6
55,21,22,16,6
56,21,22,17,5
57,21,22,16,6
58,21,22,17,5
59,21,22,17,5
60,21,22,15,7
61,21,22,16,6
62,21,22,16,6
63,21,22,16,6
64,21,22,17,5
65,21,22,17,5
66,21,22,16,6
67,21,23,17,6
68,21,23,15,8
69,21,23,17,6
70,21,23,17,6
71,21,23,17,6
72,21,23,16,7
73,21,23,17,6
74,21,23,16,7
75,21,23,17,6
76,21,23,17,6
77,21,23,16,7
78,21,23,16,7
79,21,23,17,6
80,21,23,16,7
81,21,23,16,7
82,21,23,17,6
83,21,23,17,6
84,21,23,16,7
85,21,23,16,7
86,21,23,16,7
87,21,23,16,7
88,21,23,17,6
89,21,23,16,7
90,22,23,16,7
91,22,23,16,7
92,22,23,16,7
93,22,23,17,6
94,22,23,17,6
95,22,23,17,6
96,22,23,16,7
97,22,23,17,6
98,22,23,17,6
99,22,23,16,7
100,22,23,15,8
101,22,23,17,6
102,22,24,16,8
103,22,24,15,9
104,22,24,15,9
105,22,24,15,9
106,22,24,16,8
107,22,24,17,7
108,22,24,16,8
109,22,24,17,7
110,22,24,17,7
111,22,24,17,7
112,22,24,17,7
113,22,24,16,8
114,22,24,16,8
115,22,24,17,7
116,22,24,17,7
117,22,24,17,7
118,22,24,16,8
119,22,24,17,7
120,22,24,17,7
121,22,24,17,7
122,22,24,16,8
123,22,24,16,8
124,22,24,16,8
125,22,24,17,7
126,22,24,17,7
127,22,24,16,8
128,22,24,17,7
129,22,24,16,8
130,22,24,17,7
131,22,24,17,7
132,22,24,17,7
133,22,24,15,9
134,22,24,17,7
135,22,24,16,8
136,22,24,17,7
137,22,24,16,8
138,22,24,17,7
139,22,24,16,8
140,22,24,17,7
141,22,24,17,7
142,22,24,16,8
143,23,24,17,7
144,23,24,17,7
145,23,24,17,7
146,23,24,17,7
147,23,24,17,7
148,23,24,17,7
149,23,24,17,7
150,23,24,17,7
151,23,24,16,8
152,23,24,17,7
153,23,24,16,8
154,23,24,17,7
155,23,24,17,7
156,23,24,17,7
157,23,24,17,7
158,23,24,15,9
159,23,24,17,7
160,23,24,18,6
161,23,24,17,7
162,23,24,16,8
163,23,24,17,7
164,23,24,17,7
165,23,24,16,8
166,23,24,17,7
167,23,24,17,7
168,23,24,19,5
169,23,24,18,6
170,23,24,16,8
171,23,24,17,7
172,23,24,17,7
173,23,24,17,7
174,23,24,17,7
175,23,24,17,7
176,23,24,17,7
177,23,24,17,7
178,23,24,17,7
179,23,24,17,7
180,23,24,17,7
181,23,24,17,7
182,23,24,17,7
183,23,24,16,8
184,23,24,17,7
185,23,24,17,7
186,23,24,18,6
187,23,24,17,7
188,23,24,17,7
189,23,24,17,7
190,23,24,17,7
191,23,24,17,7
192,23,24,18,6
193,23,24,17,7
194,23,24,17,7
195,23,24,18,6
196,23,24,17,7
197,23,24,17,7
198,23,24,16,8
199,23,24,17,7
200,23,24,17,7
201,23,24,17,7
202,23,24,17,7
203,23,24,16,8
204,23,24,17,7
205,23,24,18,6
206,23,24,17,7
207,23,24,17,7
208,23,24,17,7
209,23,24,17,7
210,23,24,17,7
211,23,24,17,7
212,23,24,18,6
